"ID","age","income","sustainability"
1,"18 - 24","No","Somewhat below average"
2,"18 - 24","Yes","Somewhat above average"
3,"18 - 24","Yes","Average"
4,"18 - 24","Yes","Somewhat above average"
5,"25 - 34","Yes","Somewhat above average"
6,"25 - 34","Yes","Somewhat above average"
7,"18 - 24","No","Average"
8,"25 - 34","Yes","Average"
9,"25 - 34","Yes","Somewhat above average"
10,"25 - 34","Yes","Somewhat above average"
11,"25 - 34","Yes","Far below average"
12,"25 - 34","Yes","Average"
13,"25 - 34","No","Average"
14,"25 - 34","Yes","Somewhat above average"
15,"25 - 34","Yes","Somewhat below average"
16,"25 - 34","Yes","Somewhat above average"
17,"18 - 24","Yes","Average"
18,"25 - 34","Yes","Far below average"
19,"25 - 34","Yes","Far below average"
20,"18 - 24","Yes","Somewhat above average"
21,"18 - 24","Yes","Average"
22,"25 - 34","Yes","Average"
23,"18 - 24","Yes","Average"
24,"25 - 34","Yes","Average"
25,"25 - 34","Yes","Average"
26,"25 - 34","Yes","Average"
27,"18 - 24","No","Average"
28,"18 - 24","No","Average"
29,"18 - 24","No","Average"
30,"18 - 24","No","Somewhat below average"
31,"25 - 34","Yes","Somewhat above average"
32,"18 - 24","Yes","Average"
33,"18 - 24","No","Average"
34,"18 - 24","No","Somewhat above average"
35,"25 - 34","Yes","Somewhat above average"
36,"25 - 34","Yes","Average"
37,"18 - 24","Yes","Somewhat below average"
38,"18 - 24","No","Somewhat above average"
39,"18 - 24","Yes","Somewhat above average"
40,"25 - 34","No","Somewhat below average"
41,"18 - 24","No","Average"
42,"25 - 34","No","Somewhat above average"
43,"18 - 24","Yes","Somewhat above average"
44,"18 - 24","Yes","Average"
45,"18 - 24","Yes","Average"
46,"18 - 24","No","Average"
47,"18 - 24","No","Average"
48,"18 - 24","No","Somewhat below average"
49,"18 - 24","No","Somewhat below average"
50,"25 - 34","No","Somewhat below average"
51,"18 - 24","No","Average"
52,"18 - 24","Yes","Somewhat above average"
53,"18 - 24","Yes","Somewhat below average"
54,"18 - 24","Yes","Somewhat below average"
55,"25 - 34","No","Somewhat above average"
56,"18 - 24","No","Somewhat below average"
57,"18 - 24","No","Average"
58,"18 - 24","Yes","Average"
59,"18 - 24","Yes","Average"
60,"18 - 24","Yes","Average"
61,"25 - 34","Yes","Average"
62,"25 - 34","Yes","Average"
63,"25 - 34","No","Somewhat below average"
64,"25 - 34","Yes","Somewhat above average"
65,"25 - 34","Yes","Average"
66,"18 - 24","No","Somewhat above average"
67,"18 - 24","Yes","Somewhat above average"
68,"18 - 24","Yes","Somewhat below average"
69,"18 - 24","Yes","Somewhat below average"
70,"25 - 34","Yes","Average"
71,"18 - 24","Yes","Somewhat below average"
72,"18 - 24","Yes","Far above average"
73,"18 - 24","Yes","Average"
74,"18 - 24","No","Somewhat above average"
75,"25 - 34","No","Somewhat above average"
76,"18 - 24","No","Somewhat below average"
77,"18 - 24","No","Somewhat above average"
78,"18 - 24","Yes","Somewhat below average"
79,"18 - 24","Yes","Far below average"
80,"18 - 24","No","Somewhat above average"
81,"18 - 24","Yes","Somewhat above average"
82,"18 - 24","No","Somewhat below average"
83,"18 - 24","No","Somewhat below average"
84,"18 - 24","No","Somewhat below average"
85,"18 - 24","No","Average"
86,"18 - 24","Yes","Average"
87,"25 - 34","Yes","Far above average"
88,"25 - 34","Yes","Somewhat above average"
89,"25 - 34","Yes","Average"
90,"18 - 24","Yes","Average"
91,"25 - 34","Yes","Somewhat below average"
92,"18 - 24","Yes","Average"
93,"25 - 34","Yes","Somewhat below average"
94,"25 - 34","Yes","Average"
95,"25 - 34","Yes","Somewhat below average"
96,"25 - 34","Yes","Average"
97,"35 - 44","Yes","Far below average"
98,"18 - 24","Yes","Average"
99,"18 - 24","Yes","Somewhat above average"
100,"35 - 44","Yes","Somewhat below average"
101,"18 - 24","No","Average"
102,"18 - 24","No","Somewhat above average"
103,"18 - 24","No","Average"
104,"25 - 34","","Somewhat below average"
105,"25 - 34","Yes","Somewhat below average"
106,"65 - 74","Yes","Average"
107,"55 - 64","Yes","Somewhat above average"
108,"18 - 24","No","Average"
109,"25 - 34","Yes","Somewhat above average"
110,"18 - 24","No","Average"
